CANTON,VALUE
GUAYAQUIL,16
MACHALA,16
QUEVEDO,16
MANTA,16
SANTO DOMINGO,16
PORTOVIEJO,14
MILAGRO,12
LAGO AGRIO,14
BABAHOYO,12
SANTA ELENA,12
ESMERALDAS,12
ORELLANA,13
CHONE,10
BUENA FE,10
ATACAMES,10
QUITO,8
EMPALME,8
JIPIJAPA,7
PASAJE,7
LA TRONCAL,6
LOJA,4
SHUSHUFINDI,8
SANTA ROSA,5
QUININDE,6
HUAQUILLAS,6
TENA,6
MUISNE,4
NARANJITO,4
EL GUABO,4
SAN LORENZO,4
VENTANAS,4
SALINAS,4
EL TRIUNFO,2
PLAYAS,2
BOLIVAR,2
NARANJAL,1
ARENILLAS,2
QUINSALOMA,2
SAN JACINTO DE YAGUACHI,2
FLAVIO ALFARO,3
MORONA,3
LA LIBERTAD,1
ELOY ALFARO,2
VINCES,2
YANTZAZA,3
