Source,Target,Type,Id,Label,timeset,Weight
10,36,Directed,68403,,,0.076923
36,10,Directed,69168,,,0.153846
36,67,Directed,69217,,,0.083333
36,66,Directed,69216,,,0.25
36,64,Directed,69214,,,0.1
36,45,Directed,69197,,,1.892622
36,44,Directed,69196,,,1.104762
36,43,Directed,69195,,,2.763644
36,40,Directed,69192,,,1.067183
36,39,Directed,69191,,,1.091209
36,38,Directed,69190,,,0.083333
67,36,Directed,70092,,,0.083333
66,36,Directed,70078,,,0.25
64,36,Directed,70029,,,0.1
45,36,Directed,69469,,,1.737045
44,36,Directed,69425,,,1.002381
43,36,Directed,69383,,,1.190764
40,36,Directed,69297,,,0.435689
39,36,Directed,69261,,,0.862637
38,36,Directed,69238,,,0.083333
37,45,Directed,69228,,,0.066667
37,40,Directed,69227,,,0.066667
37,39,Directed,69226,,,0.066667
45,37,Directed,69470,,,0.133333
40,37,Directed,69298,,,0.2
39,37,Directed,69262,,,0.066667
38,67,Directed,69244,,,0.083333
38,44,Directed,69239,,,0.083333
67,38,Directed,70093,,,0.083333
44,38,Directed,69426,,,0.166667
39,64,Directed,69278,,,0.3
39,45,Directed,69267,,,0.629304
39,44,Directed,69266,,,0.3
39,43,Directed,69265,,,0.797558
39,40,Directed,69263,,,0.14359
64,39,Directed,70030,,,0.1
45,39,Directed,69471,,,0.595971
44,39,Directed,69427,,,0.2
43,39,Directed,69384,,,1.097558
40,39,Directed,69299,,,0.276923
40,45,Directed,69303,,,0.726923
40,44,Directed,69302,,,0.2
40,43,Directed,69301,,,0.167832
45,40,Directed,69472,,,0.660256
44,40,Directed,69428,,,0.2
43,40,Directed,69385,,,0.167832
43,68,Directed,69406,,,0.076923
43,64,Directed,69404,,,0.1
43,45,Directed,69389,,,0.736447
43,44,Directed,69388,,,0.409524
68,43,Directed,70110,,,0.076923
64,43,Directed,70031,,,0.1
45,43,Directed,69474,,,0.611447
44,43,Directed,69430,,,0.42619
44,67,Directed,69444,,,0.166667
44,66,Directed,69443,,,0.222222
44,64,Directed,69441,,,0.2
44,45,Directed,69431,,,0.692857
67,44,Directed,70094,,,0.083333
66,44,Directed,70079,,,0.111111
64,44,Directed,70032,,,0.1
45,44,Directed,69475,,,1.042857
45,68,Directed,69495,,,0.5
45,67,Directed,69494,,,0.1
45,64,Directed,69492,,,0.1
68,45,Directed,70111,,,0.166667
67,45,Directed,70095,,,0.1
64,45,Directed,70033,,,0.1
64,67,Directed,70040,,,0.1
67,64,Directed,70101,,,0.1
