"","PROVINCIA","CANTON","SE","NÚM..CASOS"
"1","1","SANTA ISABEL",25,1
"2","2","CHILLANES",39,2
"3","3","LA TRONCAL",2,2
"4","3","LA TRONCAL",1,2
"5","4","TULCAN",52,1
"6","6","RIOBAMBA",16,1
"7","7","MACHALA",3,2
"8","7","MACHALA",2,3
"9","7","PASAJE",3,2
"10","7","PASAJE",2,2
"11","7","PIÑAS",4,1
"12","7","SANTA ROSA",7,2
"13","7","SANTA ROSA",2,2
"14","7","ZARUMA",8,1
"15","8","ESMERALDAS",17,2
"16","8","ESMERALDAS",21,3
"17","8","ESMERALDAS",27,2
"18","8","ESMERALDAS",52,2
"19","8","ESMERALDAS",4,2
"20","8","ESMERALDAS",51,3
"21","8","ESMERALDAS",50,2
"22","8","ESMERALDAS",11,2
"23","8","ESMERALDAS",48,2
"24","8","ESMERALDAS",49,2
"25","8","QUININDE",2,2
"26","8","SAN LORENZO",4,3
"27","9","GUAYAQUIL",35,3
"28","9","GUAYAQUIL",50,2
"29","9","GUAYAQUIL",22,2
"30","9","GUAYAQUIL",43,2
"31","9","GUAYAQUIL",9,2
"32","9","GUAYAQUIL",44,2
"33","9","GUAYAQUIL",8,2
"34","9","GUAYAQUIL",38,2
"35","9","GUAYAQUIL",31,2
"36","9","GUAYAQUIL",29,2
"37","9","GUAYAQUIL",12,2
"38","9","BALZAR",29,1
"39","9","DAULE",3,1
"40","9","DURAN",48,1
"41","9","EMPALME",1,2
"42","9","EMPALME",8,4
"43","9","EMPALME",4,3
"44","9","EMPALME",26,2
"45","9","EMPALME",52,2
"46","9","EL TRIUNFO",16,1
"47","9","MILAGRO",18,2
"48","9","MILAGRO",17,2
"49","9","NARANJAL",5,1
"50","9","SAMBORONDON",12,1
"51","9","SANTA LUCIA",8,2
"52","9","SALITRE",20,1
"53","11","LOJA",51,3
"54","12","QUEVEDO",8,2
"55","12","QUEVEDO",48,2
"56","12","QUEVEDO",39,2
"57","12","QUEVEDO",38,2
"58","12","QUEVEDO",21,2
"59","12","VENTANAS",41,3
"60","12","VENTANAS",20,2
"61","12","VENTANAS",4,3
"62","12","VENTANAS",11,2
"63","12","VENTANAS",13,2
"64","12","VINCES",6,1
"65","13","PORTOVIEJO",6,2
"66","13","BOLIVAR",30,2
"67","13","CHONE",9,2
"68","13","CHONE",31,2
"69","13","CHONE",24,2
"70","13","CHONE",7,2
"71","13","EL CARMEN",29,1
"72","13","FLAVIO ALFARO",16,3
"73","13","FLAVIO ALFARO",2,4
"74","13","MANTA",13,3
"75","13","MANTA",43,3
"76","13","MANTA",5,2
"77","13","MANTA",6,2
"78","13","MANTA",28,4
"79","13","PAJAN",5,2
"80","14","MORONA",21,5
"81","14","MORONA",14,2
"82","14","MORONA",20,6
"83","14","MORONA",17,2
"84","14","MORONA",26,2
"85","14","MORONA",13,5
"86","14","MORONA",25,4
"87","14","MORONA",12,3
"88","14","MORONA",8,2
"89","14","MORONA",15,5
"90","14","MORONA",4,2
"91","14","MORONA",24,2
"92","14","MORONA",9,2
"93","14","SANTIAGO",3,1
"94","14","SUCUA",31,1
"95","15","TENA",22,3
"96","15","TENA",24,2
"97","16","PASTAZA",43,2
"98","16","PASTAZA",3,3
"99","17","PEDRO VICENTE MALDONADO",1,3
"100","20","SAN CRISTOBAL",20,1
"101","21","LAGO AGRIO",51,4
"102","21","LAGO AGRIO",1,2
"103","21","LAGO AGRIO",5,4
"104","21","LAGO AGRIO",52,2
"105","21","SHUSHUFINDI",22,2
"106","21","SHUSHUFINDI",31,2
"107","21","SHUSHUFINDI",28,2
"108","22","ORELLANA",3,2
"109","22","ORELLANA",43,2
"110","22","ORELLANA",6,3
"111","22","ORELLANA",42,2
"112","22","ORELLANA",40,2
"113","22","ORELLANA",23,2
"114","22","ORELLANA",38,3
"115","23","SANTO DOMINGO",40,3
"116","23","SANTO DOMINGO",52,3
"117","23","SANTO DOMINGO",46,6
"118","23","SANTO DOMINGO",42,2
"119","23","SANTO DOMINGO",30,3
"120","23","SANTO DOMINGO",43,4
"121","23","SANTO DOMINGO",41,2
"122","23","SANTO DOMINGO",13,2
"123","23","SANTO DOMINGO",34,8
"124","23","SANTO DOMINGO",39,3
"125","23","SANTO DOMINGO",28,4
"126","23","SANTO DOMINGO",33,4
"127","23","SANTO DOMINGO",51,3
"128","23","SANTO DOMINGO",24,3
"129","23","SANTO DOMINGO",35,5
"130","23","SANTO DOMINGO",2,3
"131","23","SANTO DOMINGO",48,2
"132","23","SANTO DOMINGO",3,4
"133","23","SANTO DOMINGO",31,3
"134","23","SANTO DOMINGO",44,2
"135","24","SANTA ELENA",8,3
"136","24","SANTA ELENA",9,2
"137","24","LA LIBERTAD",4,3
"138","24","SALINAS",2,2
"139","2","GUARANDA",22,1
"140","2","GUARANDA",12,1
"141","2","CHILLANES",34,1
"142","3","LA TRONCAL",7,1
"143","3","LA TRONCAL",11,1
"144","3","LA TRONCAL",13,1
"145","5","LA MANA",16,1
"146","5","LA MANA",42,1
"147","7","MACHALA",21,1
"148","7","MACHALA",13,1
"149","7","MACHALA",19,1
"150","7","MACHALA",10,1
"151","7","MACHALA",45,1
"152","7","MACHALA",20,1
"153","7","MACHALA",16,1
"154","7","MACHALA",24,1
"155","7","MACHALA",9,1
"156","7","MACHALA",7,1
"157","7","MACHALA",28,1
"158","7","MACHALA",15,1
"159","7","MACHALA",47,1
"160","7","MACHALA",31,1
"161","7","MACHALA",4,1
"162","7","ARENILLAS",6,1
"163","7","ARENILLAS",39,1
"164","7","ARENILLAS",8,1
"165","7","HUAQUILLAS",19,1
"166","7","HUAQUILLAS",49,1
"167","7","PASAJE",34,1
"168","7","PASAJE",42,1
"169","7","PASAJE",1,1
"170","7","PASAJE",29,1
"171","7","PASAJE",25,1
"172","7","PASAJE",10,1
"173","7","SANTA ROSA",14,1
"174","7","SANTA ROSA",15,1
"175","7","SANTA ROSA",19,1
"176","7","SANTA ROSA",9,1
"177","8","ESMERALDAS",28,1
"178","8","ESMERALDAS",26,1
"179","8","ESMERALDAS",25,1
"180","8","ESMERALDAS",30,1
"181","8","ESMERALDAS",3,1
"182","8","ESMERALDAS",18,1
"183","8","ESMERALDAS",15,1
"184","8","ESMERALDAS",29,1
"185","8","ESMERALDAS",7,1
"186","8","ESMERALDAS",13,1
"187","8","ESMERALDAS",39,1
"188","8","ESMERALDAS",43,1
"189","8","ESMERALDAS",47,1
"190","8","ESMERALDAS",24,1
"191","8","ESMERALDAS",1,1
"192","8","ELOY ALFARO",21,1
"193","8","ELOY ALFARO",39,1
"194","8","ELOY ALFARO",38,1
"195","8","ELOY ALFARO",20,1
"196","8","ELOY ALFARO",30,1
"197","8","ELOY ALFARO",49,1
"198","8","ELOY ALFARO",52,1
"199","8","MUISNE",21,1
"200","8","MUISNE",3,1
"201","8","QUININDE",7,1
"202","8","QUININDE",37,1
"203","8","QUININDE",3,1
"204","8","QUININDE",41,1
"205","8","SAN LORENZO",34,1
"206","8","SAN LORENZO",5,1
"207","8","SAN LORENZO",28,1
"208","8","ATACAMES",47,1
"209","8","ATACAMES",43,1
"210","8","ATACAMES",31,1
"211","8","ATACAMES",37,1
"212","8","ATACAMES",1,1
"213","8","ATACAMES",29,1
"214","8","ATACAMES",6,1
"215","8","ATACAMES",34,1
"216","8","ATACAMES",50,1
"217","8","ATACAMES",15,1
"218","8","ATACAMES",46,1
"219","9","GUAYAQUIL",37,1
"220","9","GUAYAQUIL",41,1
"221","9","GUAYAQUIL",39,1
"222","9","GUAYAQUIL",2,1
"223","9","GUAYAQUIL",51,1
"224","9","GUAYAQUIL",4,1
"225","9","GUAYAQUIL",5,1
"226","9","GUAYAQUIL",3,1
"227","9","GUAYAQUIL",49,1
"228","9","GUAYAQUIL",17,1
"229","9","GUAYAQUIL",18,1
"230","9","GUAYAQUIL",45,1
"231","9","GUAYAQUIL",46,1
"232","9","GUAYAQUIL",47,1
"233","9","GUAYAQUIL",14,1
"234","9","GUAYAQUIL",30,1
"235","9","GUAYAQUIL",48,1
"236","9","GUAYAQUIL",24,1
"237","9","GUAYAQUIL",52,1
"238","9","GUAYAQUIL",16,1
"239","9","EMPALME",6,1
"240","9","EMPALME",2,1
"241","9","EMPALME",9,1
"242","9","EMPALME",35,1
"243","9","EMPALME",11,1
"244","9","EMPALME",7,1
"245","9","EMPALME",5,1
"246","9","EMPALME",28,1
"247","9","EMPALME",12,1
"248","9","EMPALME",37,1
"249","9","EMPALME",23,1
"250","9","EMPALME",36,1
"251","9","MILAGRO",2,1
"252","9","MILAGRO",15,1
"253","9","MILAGRO",3,1
"254","9","MILAGRO",5,1
"255","9","MILAGRO",9,1
"256","9","MILAGRO",11,1
"257","9","MILAGRO",4,1
"258","9","MILAGRO",48,1
"259","9","NARANJITO",11,1
"260","9","NARANJITO",10,1
"261","9","NARANJITO",8,1
"262","9","NARANJITO",13,1
"263","9","SAN JACINTO DE YAGUACHI",3,1
"264","9","SAN JACINTO DE YAGUACHI",9,1
"265","9","SAN JACINTO DE YAGUACHI",30,1
"266","9","SAN JACINTO DE YAGUACHI",51,1
"267","9","SAN JACINTO DE YAGUACHI",5,1
"268","11","LOJA",42,1
"269","11","LOJA",30,1
"270","11","LOJA",19,1
"271","11","LOJA",13,1
"272","11","LOJA",41,1
"273","11","LOJA",43,1
"274","11","LOJA",31,1
"275","11","LOJA",4,1
"276","11","MACARA",7,1
"277","11","MACARA",6,1
"278","12","BABAHOYO",8,1
"279","12","BABAHOYO",26,1
"280","12","BABAHOYO",43,1
"281","12","BABAHOYO",1,1
"282","12","QUEVEDO",37,1
"283","12","QUEVEDO",15,1
"284","12","QUEVEDO",29,1
"285","12","QUEVEDO",18,1
"286","12","QUEVEDO",30,1
"287","12","VENTANAS",1,1
"288","12","VENTANAS",34,1
"289","12","VENTANAS",50,1
"290","12","VENTANAS",3,1
"291","12","VENTANAS",42,1
"292","12","VENTANAS",38,1
"293","12","VENTANAS",16,1
"294","12","VENTANAS",29,1
"295","12","VENTANAS",37,1
"296","12","BUENA FE",37,1
"297","12","BUENA FE",28,1
"298","12","BUENA FE",5,1
"299","12","BUENA FE",26,1
"300","12","BUENA FE",3,1
"301","12","BUENA FE",6,1
"302","12","BUENA FE",20,1
"303","12","BUENA FE",4,1
"304","12","BUENA FE",41,1
"305","12","BUENA FE",17,1
"306","13","PORTOVIEJO",16,1
"307","13","PORTOVIEJO",4,1
"308","13","PORTOVIEJO",13,1
"309","13","PORTOVIEJO",22,1
"310","13","PORTOVIEJO",15,1
"311","13","PORTOVIEJO",24,1
"312","13","PORTOVIEJO",35,1
"313","13","PORTOVIEJO",5,1
"314","13","BOLIVAR",2,1
"315","13","BOLIVAR",42,1
"316","13","BOLIVAR",4,1
"317","13","BOLIVAR",35,1
"318","13","BOLIVAR",36,1
"319","13","CHONE",16,1
"320","13","CHONE",18,1
"321","13","CHONE",22,1
"322","13","CHONE",1,1
"323","13","CHONE",14,1
"324","13","CHONE",29,1
"325","13","CHONE",30,1
"326","13","CHONE",11,1
"327","13","CHONE",5,1
"328","13","CHONE",41,1
"329","13","FLAVIO ALFARO",14,1
"330","13","FLAVIO ALFARO",10,1
"331","13","FLAVIO ALFARO",47,1
"332","13","FLAVIO ALFARO",15,1
"333","13","FLAVIO ALFARO",8,1
"334","13","FLAVIO ALFARO",1,1
"335","13","MANTA",41,1
"336","13","MANTA",12,1
"337","13","MANTA",32,1
"338","13","MANTA",33,1
"339","13","MANTA",4,1
"340","13","MANTA",35,1
"341","13","MANTA",21,1
"342","13","MANTA",8,1
"343","13","MANTA",34,1
"344","13","MANTA",31,1
"345","13","MANTA",45,1
"346","13","MANTA",9,1
"347","13","MANTA",30,1
"348","13","MANTA",26,1
"349","13","PAJAN",6,1
"350","13","PAJAN",42,1
"351","13","PAJAN",4,1
"352","13","ROCAFUERTE",7,1
"353","13","ROCAFUERTE",8,1
"354","13","SUCRE",35,1
"355","13","SUCRE",37,1
"356","14","MORONA",22,1
"357","14","MORONA",16,1
"358","14","MORONA",42,1
"359","14","MORONA",27,1
"360","14","MORONA",10,1
"361","14","MORONA",5,1
"362","14","MORONA",7,1
"363","14","MORONA",18,1
"364","14","MORONA",6,1
"365","14","MORONA",31,1
"366","14","MORONA",2,1
"367","14","MORONA",23,1
"368","14","MORONA",46,1
"369","14","TAISHA",22,1
"370","14","TAISHA",35,1
"371","15","TENA",3,1
"372","15","TENA",41,1
"373","15","TENA",46,1
"374","15","TENA",7,1
"375","15","TENA",51,1
"376","15","TENA",25,1
"377","16","PASTAZA",7,1
"378","16","PASTAZA",26,1
"379","16","PASTAZA",15,1
"380","16","PASTAZA",33,1
"381","16","PASTAZA",32,1
"382","16","PASTAZA",17,1
"383","17","QUITO",28,1
"384","17","QUITO",19,1
"385","17","QUITO",30,1
"386","17","QUITO",22,1
"387","17","QUITO",36,1
"388","17","QUITO",44,1
"389","17","QUITO",50,1
"390","17","QUITO",14,1
"391","17","PEDRO VICENTE MALDONADO",24,1
"392","17","PEDRO VICENTE MALDONADO",46,1
"393","17","PEDRO VICENTE MALDONADO",33,1
"394","17","PEDRO VICENTE MALDONADO",49,1
"395","17","PEDRO VICENTE MALDONADO",42,1
"396","17","PEDRO VICENTE MALDONADO",50,1
"397","17","PEDRO VICENTE MALDONADO",5,1
"398","17","PEDRO VICENTE MALDONADO",52,1
"399","19","ZAMORA",28,1
"400","19","ZAMORA",27,1
"401","19","CHINCHIPE",31,1
"402","19","CHINCHIPE",35,1
"403","19","YANTZAZA",38,1
"404","19","YANTZAZA",30,1
"405","21","LAGO AGRIO",21,1
"406","21","LAGO AGRIO",20,1
"407","21","LAGO AGRIO",15,1
"408","21","LAGO AGRIO",2,1
"409","21","LAGO AGRIO",7,1
"410","21","LAGO AGRIO",49,1
"411","21","LAGO AGRIO",14,1
"412","21","LAGO AGRIO",30,1
"413","21","LAGO AGRIO",22,1
"414","21","LAGO AGRIO",41,1
"415","21","LAGO AGRIO",12,1
"416","21","LAGO AGRIO",19,1
"417","21","LAGO AGRIO",46,1
"418","21","SHUSHUFINDI",18,1
"419","21","SHUSHUFINDI",33,1
"420","21","SHUSHUFINDI",1,1
"421","21","SHUSHUFINDI",12,1
"422","21","SHUSHUFINDI",42,1
"423","21","SHUSHUFINDI",23,1
"424","22","ORELLANA",14,1
"425","22","ORELLANA",7,1
"426","22","ORELLANA",25,1
"427","22","ORELLANA",18,1
"428","22","ORELLANA",49,1
"429","22","ORELLANA",45,1
"430","22","ORELLANA",35,1
"431","22","ORELLANA",24,1
"432","22","ORELLANA",52,1
"433","22","ORELLANA",46,1
"434","22","ORELLANA",33,1
"435","22","ORELLANA",4,1
"436","23","SANTO DOMINGO",19,1
"437","23","SANTO DOMINGO",20,1
"438","23","SANTO DOMINGO",27,1
"439","23","SANTO DOMINGO",17,1
"440","23","SANTO DOMINGO",36,1
"441","23","SANTO DOMINGO",8,1
"442","23","SANTO DOMINGO",5,1
"443","23","SANTO DOMINGO",26,1
"444","23","SANTO DOMINGO",14,1
"445","23","SANTO DOMINGO",1,1
"446","23","SANTO DOMINGO",4,1
"447","23","SANTO DOMINGO",47,1
"448","23","SANTO DOMINGO",21,1
"449","23","SANTO DOMINGO",37,1
"450","23","SANTO DOMINGO",15,1
"451","23","SANTO DOMINGO",25,1
"452","23","SANTO DOMINGO",10,1
"453","24","SANTA ELENA",27,1
"454","24","SANTA ELENA",10,1
"455","24","SANTA ELENA",14,1
"456","24","SANTA ELENA",6,1
"457","24","SANTA ELENA",30,1
"458","24","SANTA ELENA",5,1
"459","24","SANTA ELENA",22,1
"460","24","SANTA ELENA",23,1
"461","24","LA LIBERTAD",20,1
"462","24","LA LIBERTAD",38,1
"463","24","LA LIBERTAD",35,1
"464","24","LA LIBERTAD",17,1
"465","24","LA LIBERTAD",9,1
"466","24","LA LIBERTAD",31,1
"467","24","LA LIBERTAD",5,1
"468","24","LA LIBERTAD",37,1
"469","24","LA LIBERTAD",14,1
"470","24","SALINAS",24,1
"471","24","SALINAS",48,1
"472","24","SALINAS",31,1
"473","24","SALINAS",5,1
"474","24","SALINAS",9,1
"475","24","SALINAS",20,1
"476","24","SALINAS",25,1
"477","24","SALINAS",26,1
"478","24","SALINAS",11,1
